alumni_id,student_id,current_employer_id,current_title,years_experience,career_stage,skills_primary,skills_secondary,certifications,achievements,mentoring_interest,volunteering_interest,is_active_member,last_engagement_date,profile_visibility,preferred_contact_method,preferred_time_zone,portfolio_url,github_url,created_at
f1a68f94-58c8-444e-bd9f-d1fb47f3d032,9083c77c-4252-470b-a48c-1718a0099487,318fcc1c-6768-4314-b352-fdf73f4d6189,Business Analyst,0.0,Early,"Git, CI/CD, Microservices","Spark, Hadoop, PySpark",Azure Fundamentals,Volunteer Lead,0,0,1,,SLU-only,Email,America/New_York,https://portfolio.example.com/jcohen.19,https://github.com/jcohen,2025-10-25T04:47:46
25e73440-6ba0-4f99-9dd1-db2ef3f08d35,de3c9953-ac0f-46ec-a66e-71f36a107ff9,,,0.0,Early,"Power BI, Excel, Storytelling","SIEM, SOC",Azure Fundamentals,,1,0,0,2025-10-10,SLU-only,LinkedIn,America/New_York,https://portfolio.example.com/asanchez.20,https://github.com/asanchez,2025-10-25T04:47:46
62a53458-f354-4db9-8ab4-4805bb7dbf55,20d44951-4c0b-47df-a6c1-645770e53541,a46c958c-d07c-49f1-ad36-dfe718d5a31d,QA Engineer,0.2,Early,"Python, SQL, Statistics","Communication, Teamwork",None,Volunteer Lead,1,1,0,2024-02-07,Private,Email,America/Los_Angeles,https://portfolio.example.com/mmunoz.21,https://github.com/mmunoz,2025-10-25T04:47:46
58c33fa2-3549-444c-9c10-64b8e681556e,0700fdeb-54a9-4a38-a9ca-c4c23b42bab2,56f63d87-cdee-477b-b6b4-646169878500,Business Analyst,0.6,Early,"Git, CI/CD, Microservices","ML, DL, MLOps",PMP,,0,0,1,,SLU-only,Phone,America/Chicago,https://portfolio.example.com/lwilliams.22,https://github.com/lwilliams,2025-10-25T04:47:46
222a575c-5dc5-4ec9-a983-988872f0247b,99335071-e79d-44a5-af21-995097013122,e6a6ffa8-24da-43ef-98fa-023dc3bb5c43,Data Analyst,0.0,Early,"Java, Algorithms, DS","Spark, Hadoop, PySpark",Azure Fundamentals,Published Paper,1,1,0,,SLU-only,Email,America/Chicago,https://portfolio.example.com/jsoto.23,https://github.com/jsoto,2025-10-25T04:47:46
3be7608d-0e1b-43ca-af89-52939f2aad89,d91017f6-93c2-4b97-a540-35d54ac70558,,,0.0,Early,"Network Sec, Splunk, IAM","ML, DL, MLOps",AWS CCP,Hackathon Winner,0,0,0,,SLU-only,LinkedIn,America/Los_Angeles,https://portfolio.example.com/aturner.24,https://github.com/aturner,2025-10-25T04:47:46
b68e318d-5c24-4e6d-8fe6-72c345e32040,9657101a-f498-4113-b083-fe7febf5f04e,,,0.0,Early,"ETL, Databases, Cloud","DAX, Modeling, Dashboards",AWS CCP,Published Paper,1,0,0,,Private,Phone,America/Chicago,https://portfolio.example.com/mhernandez.25,https://github.com/mhernandez,2025-10-25T04:47:46
6cb8e07b-9da9-4308-b6fa-0ec993d87f88,eb38ca0e-8990-4d8b-aa11-da730aa54be4,04b426a1-973e-4b59-a1b6-4857e79c3648,Data Engineer,0.3,Early,"Git, CI/CD, Microservices","AWS, Azure, GCP",None,Volunteer Lead,0,1,0,,Private,Phone,America/New_York,https://portfolio.example.com/mbutler.26,https://github.com/mbutler,2025-10-25T04:47:46
e0731d86-ae99-490b-9466-822e6a1c8876,dd7ca99e-152b-4a1e-8d06-4b6cefbc3bde,c6233ced-ed5b-4f13-a27b-44da41f88286,Data Analyst,1.0,Early,"Network Sec, Splunk, IAM","Spark, Hadoop, PySpark",AWS CCP,,0,0,0,,Public,Phone,America/Los_Angeles,https://portfolio.example.com/jsmith.27,https://github.com/jsmith,2025-10-25T04:47:46
2522debc-ede6-4204-93af-5b9c5f3c6a14,0612434e-9bb2-4e45-8cc2-0b5a18349fe5,,,0.0,Early,"Power BI, Excel, Storytelling","SIEM, SOC",PMP,Published Paper,0,1,0,,Private,LinkedIn,America/Los_Angeles,https://portfolio.example.com/amoore.28,https://github.com/amoore,2025-10-25T04:47:46
767576e5-b8e3-41ac-8939-01eac0329f42,31b4d28f-2aa5-41f8-a5ce-bb44eb17f973,ffc9cf25-9bdf-4c8b-811c-2ac645798651,Associate Consultant,0.0,Early,"Power BI, Excel, Storytelling","ML, DL, MLOps",Security+,Volunteer Lead,1,1,0,2024-06-12,SLU-only,LinkedIn,America/Chicago,https://portfolio.example.com/amiles.29,https://github.com/amiles,2025-10-25T04:47:46
800e8322-0932-4230-b180-cc8e18aaa937,720bb7ee-1205-4b9b-9fe4-e423382a8800,ebda28a4-ea71-4f78-8f8d-af74417f47b8,Associate Consultant,0.1,Early,"Java, Algorithms, DS","Spark, Hadoop, PySpark",None,Volunteer Lead,0,0,0,,SLU-only,Email,America/Los_Angeles,https://portfolio.example.com/rwelch.30,https://github.com/rwelch,2025-10-25T04:47:46
3970fd41-8289-4eab-9e34-ef8853634836,1c817377-c4b5-4d08-b5c0-68361feaa8a6,,,0.0,Early,"Python, SQL, Statistics","ML, DL, MLOps",Security+,Hackathon Winner,0,0,0,,SLU-only,Phone,America/Los_Angeles,https://portfolio.example.com/rsuarez.31,https://github.com/rsuarez,2025-10-25T04:47:46
e253e9f4-2f7d-4e97-a627-a91d12eac789,bc6ccfef-cfd1-417a-9908-7beb10b148f0,1028ae08-8736-4f68-b5c5-515a29574c5e,Data Engineer,0.6,Early,"Git, CI/CD, Microservices","DAX, Modeling, Dashboards",AWS CCP,,1,0,0,2025-03-24,SLU-only,LinkedIn,America/Chicago,https://portfolio.example.com/cthompson.32,https://github.com/cthompson,2025-10-25T04:47:46
63680cce-feea-4dd0-8c2d-dcfc4f0faa2d,93af3405-7385-4c99-85ff-ad1833af125a,4549e4be-c230-4b1b-bdf1-0f9f381f95d0,Data Engineer,0.4,Early,"Git, CI/CD, Microservices","Communication, Teamwork",AWS CCP,Hackathon Winner,1,1,1,,Private,LinkedIn,America/Los_Angeles,https://portfolio.example.com/sporter.33,https://github.com/sporter,2025-10-25T04:47:46
4a792dfb-66c5-4679-8c0f-042f262336fd,86814efc-cb00-406c-8a06-55efec2d6b10,a91b6c45-372b-4d6d-9627-ff604813f289,Data Analyst,0.3,Early,"Python, SQL, Statistics","Spark, Hadoop, PySpark",Security+,Volunteer Lead,1,1,1,,SLU-only,LinkedIn,America/Chicago,https://portfolio.example.com/sgardner.34,https://github.com/sgardner,2025-10-25T04:47:46
bd48698c-30fb-4ecc-8ce6-12d32d9a47e2,92f9d2dd-c2ba-4bc8-ace0-58ca320f757a,2b445af5-7aa6-4ad5-920b-7dc2e0355714,Security Analyst,0.3,Early,"ETL, Databases, Cloud","AWS, Azure, GCP",None,Volunteer Lead,0,1,0,,Public,LinkedIn,America/Los_Angeles,https://portfolio.example.com/wrussell.35,https://github.com/wrussell,2025-10-25T04:47:46
afef511d-a4ba-4c08-85de-7bc5cd4f3b1b,aa07b5ee-c590-481b-b384-a35e51943c78,d7752cf9-940b-46c1-848a-15e5d36b64da,QA Engineer,0.3,Early,"Power BI, Excel, Storytelling","AWS, Azure, GCP",Azure Fundamentals,Published Paper,1,1,0,,Public,LinkedIn,America/Los_Angeles,https://portfolio.example.com/sabbott.36,https://github.com/sabbott,2025-10-25T04:47:46
bd0fdf51-033f-461b-8f2f-579db7faab88,a37a9abb-0720-41dc-8d19-e30b11cf9e44,,,0.0,Early,"ETL, Databases, Cloud","SIEM, SOC",AWS CCP,Published Paper,1,1,1,,SLU-only,Phone,America/New_York,https://portfolio.example.com/kstanley.37,https://github.com/kstanley,2025-10-25T04:47:46
de486a00-1590-4203-b349-3d1b40196a4e,17140980-5c84-4ffb-b281-40560fec8d7f,5694d22c-9723-444a-8ad3-0686a9fd60a4,Data Engineer,0.2,Early,"Power BI, Excel, Storytelling","DAX, Modeling, Dashboards",Azure Fundamentals,Published Paper,1,1,0,,Public,Email,America/New_York,https://portfolio.example.com/bclark.38,https://github.com/bclark,2025-10-25T04:47:46
a6be0ed0-7d6d-4d49-9807-c810085445b6,a5d914c2-2a92-4692-a9b4-1e5a0f74fdc3,,,0.0,Early,"Power BI, Excel, Storytelling","AWS, Azure, GCP",None,Published Paper,0,1,0,,Public,Phone,America/Los_Angeles,https://portfolio.example.com/mhenson.39,https://github.com/mhenson,2025-10-25T04:47:46
5a6754f7-d0db-42ec-b5f7-775b4c35bdde,71c30979-01d8-4636-a90c-45abc761e8ea,c42994b1-be7a-40e5-b9e5-13f246b845a3,Data Analyst,0.8,Early,"ETL, Databases, Cloud","Spark, Hadoop, PySpark",None,,0,0,1,2024-12-21,SLU-only,Email,America/Chicago,https://portfolio.example.com/mhiggins.40,https://github.com/mhiggins,2025-10-25T04:47:46
2ebd7db6-40eb-4fc1-8321-0b38d822bb18,15631a6a-67c3-4e2b-857c-37b18107039a,b938a48c-358b-420c-96b5-0fb4112cdd1f,Security Analyst,0.7,Early,"ETL, Databases, Cloud","SIEM, SOC",None,Hackathon Winner,0,1,0,2024-09-12,Private,Email,America/New_York,https://portfolio.example.com/kgill.41,https://github.com/kgill,2025-10-25T04:47:46
02451632-3227-4e7d-92b3-291dd196bdf7,12c0b688-8ba9-47db-bb82-e6cf3496e9c0,,,0.0,Early,"ETL, Databases, Cloud","Spark, Hadoop, PySpark",None,Volunteer Lead,0,1,0,,SLU-only,Phone,America/Los_Angeles,https://portfolio.example.com/tfernandez.42,https://github.com/tfernandez,2025-10-25T04:47:46
d2413645-8f81-458d-86ce-efa37d100e2f,006313ce-bf55-4f4e-9a08-69e63e1e2af8,,,0.0,Early,"Network Sec, Splunk, IAM","AWS, Azure, GCP",None,Published Paper,0,0,1,,SLU-only,Phone,America/New_York,https://portfolio.example.com/jgraves.43,https://github.com/jgraves,2025-10-25T04:47:46
0e41388d-242f-4272-a964-f92bd06cb70b,b0f951c8-fb5b-4f84-b4e6-dad912ff33dd,ea6f820b-6f2d-41cd-a672-3c1c653b22c4,Security Analyst,0.6,Early,"Python, SQL, Statistics","Communication, Teamwork",PMP,,1,1,1,,Private,LinkedIn,America/New_York,https://portfolio.example.com/bturner.44,https://github.com/bturner,2025-10-25T04:47:46
a96b0699-3eec-4846-a140-bd655fb1ff5b,4a8f8664-f2aa-4978-84f8-e0c178466d08,,,0.0,Early,"ETL, Databases, Cloud","Spark, Hadoop, PySpark",None,Hackathon Winner,0,1,1,2025-08-16,SLU-only,LinkedIn,America/New_York,https://portfolio.example.com/lvasquez.45,https://github.com/lvasquez,2025-10-25T04:47:46
fec37165-565e-44d8-b3e9-e9dd6db218ce,ff9fdb16-79dd-4219-9ede-ed3cbbcf5b2b,1f34e6ca-1c40-472e-82a6-2fb431db616c,Business Analyst,0.2,Early,"ETL, Databases, Cloud","ML, DL, MLOps",Security+,Dean's List,0,0,0,,Private,Email,America/New_York,https://portfolio.example.com/cbarber.46,https://github.com/cbarber,2025-10-25T04:47:46
4689acff-b8f0-45a4-b86d-bbd5619be35b,2be1bf82-00ff-4fda-be5a-e26b69df9e06,,,0.0,Early,"Python, SQL, Statistics","SIEM, SOC",AWS CCP,Hackathon Winner,0,0,0,,Public,LinkedIn,America/Chicago,https://portfolio.example.com/lmiranda.47,https://github.com/lmiranda,2025-10-25T04:47:46
81a28534-84e0-4ac1-b581-11e9843a5a23,2e833822-1709-427f-b9e6-128916319f38,,,0.0,Early,"Network Sec, Splunk, IAM","Communication, Teamwork",AWS CCP,Dean's List,0,1,0,,Private,LinkedIn,America/New_York,https://portfolio.example.com/jgeorge.48,https://github.com/jgeorge,2025-10-25T04:47:46
a72ea78d-eb07-46fd-a74b-6a8fdfcfa5c5,912564cb-da24-4a47-91aa-e6d8886b4c98,9ed69595-a672-4770-8655-c3167faa1ca4,Business Analyst,0.8,Early,"Power BI, Excel, Storytelling","ML, DL, MLOps",PMP,Dean's List,0,0,1,,Public,LinkedIn,America/Los_Angeles,https://portfolio.example.com/syoung.49,https://github.com/syoung,2025-10-25T04:47:46
b0104e36-e004-4bed-81a3-de931415d6ce,9b3fe02f-f0ea-4e37-bf3e-0ea439a244fc,,,0.0,Early,"Git, CI/CD, Microservices","Communication, Teamwork",Azure Fundamentals,Dean's List,1,0,1,2023-11-15,SLU-only,LinkedIn,America/Chicago,https://portfolio.example.com/rlogan.50,https://github.com/rlogan,2025-10-25T04:47:46
f65eef2a-c11c-4dd9-9590-f6fec7621ead,1d87b73c-6c22-46d3-b39e-d6944e9ca487,a6784936-832e-45bd-b4b3-95bb13060f34,QA Engineer,0.2,Early,"Git, CI/CD, Microservices","SIEM, SOC",None,Hackathon Winner,1,1,0,,Private,LinkedIn,America/Chicago,https://portfolio.example.com/jwilliams.51,https://github.com/jwilliams,2025-10-25T04:47:46
f2da2c1c-8cd4-4752-867d-5619c5afbb32,eabda4e1-c4e2-47e9-977b-9e15a302b796,658c4a90-1740-46be-9e26-bcfa2c38b3c9,Data Analyst,0.6,Early,"Java, Algorithms, DS","Communication, Teamwork",None,Published Paper,1,1,0,,SLU-only,LinkedIn,America/Los_Angeles,https://portfolio.example.com/wferguson.52,https://github.com/wferguson,2025-10-25T04:47:46
ba17c88d-5f15-4c1d-9699-f87fdcea9960,a8ddfda4-7ff4-4e89-9c58-fee206ad4c06,,,0.0,Early,"Power BI, Excel, Storytelling","AWS, Azure, GCP",None,Published Paper,1,0,1,,SLU-only,LinkedIn,America/Los_Angeles,https://portfolio.example.com/apeterson.53,https://github.com/apeterson,2025-10-25T04:47:46
1d74ba70-95bb-4331-bc6d-04babc2a34b8,16c6f67c-7f60-4c72-9fa9-43f9c7495234,,,0.0,Early,"Python, SQL, Statistics","Communication, Teamwork",Azure Fundamentals,Volunteer Lead,0,1,1,,Public,Phone,America/Los_Angeles,https://portfolio.example.com/msimpson.54,https://github.com/msimpson,2025-10-25T04:47:46
2fba8394-cf2f-4f37-a611-cc65dbbe4fdf,663fa113-8b20-42fb-8859-1782e6b418ee,f6759db3-419f-43fa-91f8-c2427d233ea5,Software Engineer,0.0,Early,"Git, CI/CD, Microservices","ML, DL, MLOps",Azure Fundamentals,Dean's List,1,0,1,2024-06-18,Public,Email,America/Los_Angeles,https://portfolio.example.com/pbrown.55,https://github.com/pbrown,2025-10-25T04:47:46
3b9e5ab6-1d2a-4e36-a611-70ec16efe213,29bf32b6-42f0-4972-bca7-fe2bbd38d03b,e6600ce6-16d1-483e-a966-f3c2c3905db2,QA Engineer,0.3,Early,"Git, CI/CD, Microservices","SIEM, SOC",AWS CCP,Hackathon Winner,1,1,1,,Public,Email,America/New_York,https://portfolio.example.com/tsmith.56,https://github.com/tsmith,2025-10-25T04:47:46
ced1a1a8-f5dc-4c55-930a-071b4ff14bb6,510d0d27-effc-4e36-b1f6-855244fd5cc4,dd48a290-4eb3-490c-ad99-4d9cde43baaf,QA Engineer,0.0,Early,"Java, Algorithms, DS","SIEM, SOC",Security+,Hackathon Winner,1,0,0,,Private,Email,America/New_York,https://portfolio.example.com/jjackson.57,https://github.com/jjackson,2025-10-25T04:47:46
80171b0f-d2f7-408a-8500-e2a2392183bc,c4709859-247c-4dca-bc29-f00f0e8a8d67,94e25f31-8a44-4443-933a-c8506b3f9921,QA Engineer,0.6,Early,"Git, CI/CD, Microservices","Communication, Teamwork",AWS CCP,Dean's List,1,0,1,,Private,Email,America/New_York,https://portfolio.example.com/arobinson.58,https://github.com/arobinson,2025-10-25T04:47:46
15f622fb-af39-48f6-902d-541ce333ef2e,a5c835f8-f869-4e3e-aea8-01e0b1ccdace,e36644d0-10b5-43a6-88b1-50a2b2fe459d,Software Engineer,0.8,Early,"Git, CI/CD, Microservices","AWS, Azure, GCP",AWS CCP,Dean's List,0,0,0,,Private,Email,America/New_York,https://portfolio.example.com/khogan.59,https://github.com/khogan,2025-10-25T04:47:46
55fc8c60-87c9-40b0-ab92-47aa71b2587d,550d7d53-7a6f-4d1d-a8c4-76c4d77bd504,1e4462d6-2c87-457a-8c25-8f6d2b102aa0,Data Engineer,0.5,Early,"Git, CI/CD, Microservices","AWS, Azure, GCP",PMP,Published Paper,1,0,1,,Public,Phone,America/New_York,https://portfolio.example.com/alee.60,https://github.com/alee,2025-10-25T04:47:46
a0a95e49-b4d6-4bbc-954d-5f7593933a71,cb38eabc-76f7-447c-8cbd-8dc8b9d6c62c,,,0.0,Early,"Power BI, Excel, Storytelling","AWS, Azure, GCP",Security+,,0,1,1,,Public,Phone,America/New_York,https://portfolio.example.com/mberry.61,https://github.com/mberry,2025-10-25T04:47:46
50eeb9e8-2b1a-4d5f-b66c-d73f0b91db94,f90e9b4b-9f73-4f93-8fab-1f9c38d2f224,,,0.0,Early,"Network Sec, Splunk, IAM","DAX, Modeling, Dashboards",PMP,Hackathon Winner,0,0,0,,SLU-only,Email,America/Los_Angeles,https://portfolio.example.com/mpowell.62,https://github.com/mpowell,2025-10-25T04:47:46
1e5e8115-45bf-4375-b3d7-ca27d45b6c32,68d74654-1732-4e77-ab51-07195f6da446,,,0.0,Early,"Python, SQL, Statistics","AWS, Azure, GCP",None,,1,0,0,,Public,Email,America/Chicago,https://portfolio.example.com/msmith.63,https://github.com/msmith,2025-10-25T04:47:46
54779fc8-7235-411b-b929-d05432c3f61e,d600f765-ec69-4022-9a48-d0e06e949d0c,,,0.0,Early,"Power BI, Excel, Storytelling","ML, DL, MLOps",Azure Fundamentals,Hackathon Winner,0,0,0,2024-09-06,Public,Email,America/Chicago,https://portfolio.example.com/sgarcia.64,https://github.com/sgarcia,2025-10-25T04:47:46
9619fd24-183d-4400-a82f-929995817d3d,9fdb2cd1-c96a-4bcc-bbdb-e9d8148d734d,b738328b-7ec0-4933-a767-f7acc8cb2145,Data Analyst,0.3,Early,"Git, CI/CD, Microservices","DAX, Modeling, Dashboards",PMP,Hackathon Winner,1,0,0,,Private,Email,America/New_York,https://portfolio.example.com/slawson.65,https://github.com/slawson,2025-10-25T04:47:46
9148053f-3199-4bc2-853c-efe6aa8fa863,0b03f353-8181-418d-b380-6e10c25782cf,,,0.0,Early,"Network Sec, Splunk, IAM","Spark, Hadoop, PySpark",Azure Fundamentals,Volunteer Lead,0,1,0,,Private,Phone,America/New_York,https://portfolio.example.com/cmeza.66,https://github.com/cmeza,2025-10-25T04:47:46
226ec0cf-694e-4cdd-8314-2566d9891cf4,f913de1b-b267-4a01-85d4-136d7c849d48,e9a847ed-e0a4-4743-9cff-988830e875f6,Associate Consultant,0.3,Early,"Git, CI/CD, Microservices","DAX, Modeling, Dashboards",None,Published Paper,1,1,0,,Private,Phone,America/Chicago,https://portfolio.example.com/danderson.67,https://github.com/danderson,2025-10-25T04:47:46
410584a2-e302-444c-9936-3409cc466f14,a6ef4500-4be1-455b-a962-f932fa4430de,,,0.0,Early,"Java, Algorithms, DS","AWS, Azure, GCP",Azure Fundamentals,Published Paper,1,0,0,,Public,Email,America/Chicago,https://portfolio.example.com/aedwards.68,https://github.com/aedwards,2025-10-25T04:47:46
25730311-4941-453f-898f-3e9289d8ecd0,dde0a2c0-5a98-40ec-9301-270c0c298cb2,ffc9cf25-9bdf-4c8b-811c-2ac645798651,Associate Consultant,0.9,Early,"Git, CI/CD, Microservices","Spark, Hadoop, PySpark",AWS CCP,Published Paper,0,1,1,2024-12-31,Private,Email,America/New_York,https://portfolio.example.com/kramos.69,https://github.com/kramos,2025-10-25T04:47:46
6fa21aaf-14f6-498c-993d-25d6d33917cb,b5e78b30-045f-40af-b294-9ba21b231464,,,0.0,Early,"Python, SQL, Statistics","Spark, Hadoop, PySpark",Azure Fundamentals,,0,1,1,2025-05-01,SLU-only,Email,America/Los_Angeles,https://portfolio.example.com/mfischer.70,https://github.com/mfischer,2025-10-25T04:47:46
b6a42ee4-2213-453a-a2b8-56ca026350b7,7ae36a35-5ba8-454c-b7e5-61ecdd6bc31d,7213366b-2f0f-4d6f-a2e7-186ffb6768d5,Associate Consultant,0.8,Early,"Network Sec, Splunk, IAM","Communication, Teamwork",Security+,Dean's List,0,1,0,,Private,Phone,America/New_York,https://portfolio.example.com/wsawyer.71,https://github.com/wsawyer,2025-10-25T04:47:46
91794dc6-0766-4cfe-a326-1178ab7eeb38,840e5121-f5e7-4b39-8c74-4eb6e39d1177,,,0.0,Early,"Python, SQL, Statistics","SIEM, SOC",Azure Fundamentals,Hackathon Winner,1,1,1,,Private,LinkedIn,America/Chicago,https://portfolio.example.com/bowens.72,https://github.com/bowens,2025-10-25T04:47:46
515c9cf4-d528-4623-a873-02a119f6eecf,c7350b9c-2cd1-456a-977c-f9cda916bbe2,390eff60-699d-4d2d-8995-a858f661ebee,Data Analyst,0.1,Early,"Network Sec, Splunk, IAM","SIEM, SOC",PMP,Dean's List,1,1,0,,SLU-only,Email,America/New_York,https://portfolio.example.com/hmitchell.73,https://github.com/hmitchell,2025-10-25T04:47:46
