event_id,event_name,event_type,event_theme,event_description,start_datetime,end_datetime,timezone,delivery_mode,location_venue,location_city,location_state,location_country,organizer_unit,organizer_contact_email,capacity,rsvp_required,registrations_count,attendees_count,feedback_score_avg
b25aac7a-f043-42a9-a539-3880bf5203dd,Webinar 0011 • Product & Project Management,Webinar,Product & Project Management,Join us for webinar on product & project management.,2026-01-19 10:00:00,2026-01-19 14:00:00,America/New_York,Hybrid,Career Services Hall,Chicago,IL,USA,Alumni Office,alumni@slu.edu,516,1,516,106,4.06
75bbf0a0-a8d0-4760-ac33-8e37522d1211,Workshop 0012 • Consulting Case Prep,Workshop,Consulting Case Prep,Join us for workshop on consulting case prep.,2026-01-23 14:00:00,2026-01-23 16:00:00,America/Los_Angeles,Hybrid,Data Science Hub,Seattle,WA,USA,School of Science & Engineering,sse-events@slu.edu,43,1,43,43,3.75
f3c3a0af-7bc9-44ea-940c-8d353926de0a,Meetup 0013 • Resume & Interview Mastery,Meetup,Resume & Interview Mastery,Join us for meetup on resume & interview mastery.,2026-01-28 18:00:00,2026-01-28 19:00:00,America/Los_Angeles,In-person,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,192,0,192,192,4.47
ea6d51a1-b86e-44e5-9159-ddf9bae8915c,Guest Lecture 0014 • Networking Night,Guest Lecture,Networking Night,Join us for guest lecture on networking night.,2025-07-04 18:00:00,2025-07-04 22:00:00,America/Los_Angeles,Virtual,Data Science Hub,Seattle,WA,USA,Data Science Institute,dsi@slu.edu,83,1,83,83,3.8
7252723f-7a8a-4b0d-880d-b16741efc8b1,Career Fair 0015 • Employer Spotlight,Career Fair,Employer Spotlight,Join us for career fair on employer spotlight.,2026-03-28 14:00:00,2026-03-28 17:00:00,America/New_York,Hybrid,Tech Innovation Lab,Austin,TX,USA,Cybersecurity Center,cybercenter@slu.edu,830,0,132,132,3.99
ffea8658-4b66-467a-998b-b41d3868207e,Webinar 0016 • AI & Data Analytics Careers,Webinar,AI & Data Analytics Careers,Join us for webinar on ai & data analytics careers.,2025-06-21 10:00:00,2025-06-21 13:00:00,America/New_York,In-person,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,383,1,281,281,4.3
d0621eb4-17b2-4781-92f5-e1df7cb15f93,Workshop 0017 • Cloud & DevOps Pathways,Workshop,Cloud & DevOps Pathways,Join us for workshop on cloud & devops pathways.,2025-10-10 18:00:00,2025-10-10 21:00:00,America/Los_Angeles,Hybrid,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,128,1,128,128,
1cd4d299-79d7-4fb8-85bd-e57c75966862,Meetup 0018 • Cybersecurity Trends 2025,Meetup,Cybersecurity Trends 2025,Join us for meetup on cybersecurity trends 2025.,2026-04-17 14:00:00,2026-04-17 16:00:00,America/Los_Angeles,In-person,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,188,0,188,188,4.76
f5740527-aa6a-4e76-a24b-ebbb867e9e91,Guest Lecture 0019 • Product & Project Management,Guest Lecture,Product & Project Management,Join us for guest lecture on product & project management.,2025-12-15 14:00:00,2025-12-15 15:00:00,America/New_York,Hybrid,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,182,1,182,182,3.96
3393c16f-bb07-4e92-ba1b-2ef9f0e36119,Career Fair 0020 • Consulting Case Prep,Career Fair,Consulting Case Prep,Join us for career fair on consulting case prep.,2026-03-19 10:00:00,2026-03-19 12:00:00,America/Chicago,In-person,Virtual Stage,Online,,USA,Career Services,careerservices@slu.edu,1071,1,187,97,4.88
f4344ed3-7363-48da-8312-e0e799853df5,Webinar 0021 • Resume & Interview Mastery,Webinar,Resume & Interview Mastery,Join us for webinar on resume & interview mastery.,2025-05-18 10:00:00,2025-05-18 13:00:00,America/New_York,In-person,Busch Student Center,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,327,1,327,160,4.51
6ac31ba5-860c-466d-a3b6-e937cebb4b3b,Workshop 0022 • Networking Night,Workshop,Networking Night,Join us for workshop on networking night.,2025-08-03 18:00:00,2025-08-03 21:00:00,America/Chicago,Hybrid,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,67,1,67,67,4.78
06b9de2f-91f6-430c-863a-d958f108047d,Meetup 0023 • Employer Spotlight,Meetup,Employer Spotlight,Join us for meetup on employer spotlight.,2025-08-16 18:00:00,2025-08-16 22:00:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,School of Science & Engineering,sse-events@slu.edu,50,0,50,50,4.48
e92eb952-281d-4f1f-b340-63046b6bb8c7,Guest Lecture 0024 • AI & Data Analytics Careers,Guest Lecture,AI & Data Analytics Careers,Join us for guest lecture on ai & data analytics careers.,2025-12-11 10:00:00,2025-12-11 12:00:00,America/New_York,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,148,1,148,148,3.53
0ef583bf-cde2-4d17-8528-edc6f3bfda0e,Career Fair 0025 • Cloud & DevOps Pathways,Career Fair,Cloud & DevOps Pathways,Join us for career fair on cloud & devops pathways.,2025-12-19 14:00:00,2025-12-19 15:00:00,America/New_York,Hybrid,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,554,0,155,155,
c4baeca1-d2a1-4b26-a2ad-fba20a076a2b,Webinar 0026 • Cybersecurity Trends 2025,Webinar,Cybersecurity Trends 2025,Join us for webinar on cybersecurity trends 2025.,2025-12-27 18:00:00,2025-12-27 21:00:00,America/Los_Angeles,Hybrid,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,507,1,507,106,3.75
1092f332-1cd2-440f-bf6c-08a68baa293d,Workshop 0027 • Product & Project Management,Workshop,Product & Project Management,Join us for workshop on product & project management.,2026-04-07 14:00:00,2026-04-07 16:00:00,America/Los_Angeles,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,70,1,70,70,4.95
233f9046-b4cb-4ce5-8066-bc09653a97e4,Meetup 0028 • Consulting Case Prep,Meetup,Consulting Case Prep,Join us for meetup on consulting case prep.,2025-11-17 18:00:00,2025-11-17 19:00:00,America/Los_Angeles,In-person,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,192,0,130,130,4.37
67cfe7fc-83ca-4ca2-9a6b-7d8729990247,Guest Lecture 0029 • Resume & Interview Mastery,Guest Lecture,Resume & Interview Mastery,Join us for guest lecture on resume & interview mastery.,2026-01-10 18:00:00,2026-01-10 21:00:00,America/Los_Angeles,Virtual,Virtual Stage,Online,,USA,Chaifetz School of Business,chaifetz-events@slu.edu,95,1,95,95,3.53
0f806e83-0fdb-42c6-8caa-17fac0b1a142,Career Fair 0030 • Networking Night,Career Fair,Networking Night,Join us for career fair on networking night.,2025-12-21 10:00:00,2025-12-21 12:00:00,America/Los_Angeles,In-person,Virtual Stage,Online,,USA,Career Services,careerservices@slu.edu,605,1,179,179,4.49
34478e20-c122-4431-b956-2e678efa490b,Webinar 0031 • Employer Spotlight,Webinar,Employer Spotlight,Join us for webinar on employer spotlight.,2026-02-21 10:00:00,2026-02-21 13:00:00,America/Los_Angeles,Virtual,Virtual Stage,Online,,USA,Career Services,careerservices@slu.edu,352,1,352,189,3.58
20cbbbc2-0188-4294-bc83-c6e1dddef6cf,Workshop 0032 • AI & Data Analytics Careers,Workshop,AI & Data Analytics Careers,Join us for workshop on ai & data analytics careers.,2025-09-25 18:00:00,2025-09-25 21:00:00,America/Los_Angeles,In-person,Virtual Stage,Online,,USA,Alumni Office,alumni@slu.edu,52,1,52,52,4.97
cc42f5d1-74d6-4258-830a-1038daf7b7d7,Meetup 0033 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for meetup on cloud & devops pathways.,2025-09-09 18:00:00,2025-09-09 22:00:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,157,0,157,96,4.39
9eff256a-1273-4d71-b84e-6b135d4bb35a,Guest Lecture 0034 • Cybersecurity Trends 2025,Guest Lecture,Cybersecurity Trends 2025,Join us for guest lecture on cybersecurity trends 2025.,2025-12-27 14:00:00,2025-12-27 16:00:00,America/Los_Angeles,In-person,Global Webinar Room,Online,,USA,Chaifetz School of Business,chaifetz-events@slu.edu,83,1,83,83,4.55
3e3fdaae-722c-4dee-8644-de595d9c93cc,Career Fair 0035 • Product & Project Management,Career Fair,Product & Project Management,Join us for career fair on product & project management.,2025-12-27 18:00:00,2025-12-27 21:00:00,America/Chicago,Virtual,Virtual Stage,Online,,USA,Cybersecurity Center,cybercenter@slu.edu,1018,1,483,142,4.03
561aff55-6985-4da1-b430-8332ca0795df,Webinar 0036 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for webinar on consulting case prep.,2026-01-24 14:00:00,2026-01-24 15:00:00,America/Chicago,In-person,Career Services Hall,Chicago,IL,USA,Chaifetz School of Business,chaifetz-events@slu.edu,451,1,325,103,4.95
0e62f050-ab6e-44ed-b8b5-299627c04975,Workshop 0037 • Resume & Interview Mastery,Workshop,Resume & Interview Mastery,Join us for workshop on resume & interview mastery.,2025-10-17 18:00:00,2025-10-17 22:00:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,57,1,57,57,4.73
2f43f600-dd36-4368-ae07-0ba38093abeb,Meetup 0038 • Networking Night,Meetup,Networking Night,Join us for meetup on networking night.,2026-03-13 18:00:00,2026-03-13 20:00:00,America/Los_Angeles,Hybrid,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,132,1,132,132,
4b483a34-05ab-464e-b91a-003426cec781,Guest Lecture 0039 • Employer Spotlight,Guest Lecture,Employer Spotlight,Join us for guest lecture on employer spotlight.,2025-08-04 18:00:00,2025-08-04 20:00:00,America/Chicago,In-person,Busch Student Center,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,153,1,153,153,3.95
6a356ae3-d185-4c4e-8b8f-179782351c31,Career Fair 0040 • AI & Data Analytics Careers,Career Fair,AI & Data Analytics Careers,Join us for career fair on ai & data analytics careers.,2025-12-01 18:00:00,2025-12-01 21:00:00,America/Los_Angeles,In-person,Virtual Stage,Online,,USA,Alumni Office,alumni@slu.edu,524,0,302,302,
ad447b1c-1c44-4dfb-8c84-36ad80726e40,Webinar 0041 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for webinar on cloud & devops pathways.,2025-08-29 14:00:00,2025-08-29 15:00:00,America/Chicago,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,493,1,444,104,4.96
57a0f13b-e853-480f-afaf-d9c4dc57fdb6,Workshop 0042 • Cybersecurity Trends 2025,Workshop,Cybersecurity Trends 2025,Join us for workshop on cybersecurity trends 2025.,2025-11-20 14:00:00,2025-11-20 16:00:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Data Science Institute,dsi@slu.edu,148,1,148,148,4.18
52a34527-cee6-4ce4-b37a-399d545fa488,Meetup 0043 • Product & Project Management,Meetup,Product & Project Management,Join us for meetup on product & project management.,2026-02-27 18:00:00,2026-02-27 19:00:00,America/New_York,In-person,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,161,1,119,119,4.61
70e18336-2b70-47a5-b992-baaa102d9467,Guest Lecture 0044 • Consulting Case Prep,Guest Lecture,Consulting Case Prep,Join us for guest lecture on consulting case prep.,2025-06-23 18:00:00,2025-06-23 19:00:00,America/New_York,Hybrid,Virtual Stage,Online,,USA,Alumni Office,alumni@slu.edu,198,1,198,90,3.84
e37af28c-8405-49a5-b1e8-3624d87c6ae5,Career Fair 0045 • Resume & Interview Mastery,Career Fair,Resume & Interview Mastery,Join us for career fair on resume & interview mastery.,2025-08-15 14:00:00,2025-08-15 16:00:00,America/Chicago,Hybrid,Tech Innovation Lab,Austin,TX,USA,Cybersecurity Center,cybercenter@slu.edu,941,1,580,361,3.89
47ba46a4-320b-4ac1-bdad-70aa28a6f33f,Webinar 0046 • Networking Night,Webinar,Networking Night,Join us for webinar on networking night.,2026-02-28 10:00:00,2026-02-28 11:00:00,America/New_York,Hybrid,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,585,1,585,311,4.98
f4c00fcf-04c0-45bc-a038-69c892f56fb7,Workshop 0047 • Employer Spotlight,Workshop,Employer Spotlight,Join us for workshop on employer spotlight.,2025-09-19 14:00:00,2025-09-19 16:00:00,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,Data Science Institute,dsi@slu.edu,90,1,90,90,4.08
eddb6c25-6408-4887-9250-05b5d76c1177,Meetup 0048 • AI & Data Analytics Careers,Meetup,AI & Data Analytics Careers,Join us for meetup on ai & data analytics careers.,2025-06-29 10:00:00,2025-06-29 14:00:00,America/New_York,Hybrid,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,75,1,75,75,4.22
00bf7ff5-4046-46a9-a430-7d6e31a37696,Guest Lecture 0049 • Cloud & DevOps Pathways,Guest Lecture,Cloud & DevOps Pathways,Join us for guest lecture on cloud & devops pathways.,2025-09-24 18:00:00,2025-09-24 21:00:00,America/Los_Angeles,Hybrid,Alumni Center,Boston,MA,USA,School of Science & Engineering,sse-events@slu.edu,85,1,85,85,3.76
e05f345f-73c9-422d-8c79-3cb32bfa015e,Career Fair 0050 • Cybersecurity Trends 2025,Career Fair,Cybersecurity Trends 2025,Join us for career fair on cybersecurity trends 2025.,2025-12-21 18:00:00,2025-12-21 19:00:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,941,1,171,171,4.67
ae8f6472-f60f-408e-82fc-10a2fb9d69b8,Webinar 0051 • Product & Project Management,Webinar,Product & Project Management,Join us for webinar on product & project management.,2025-05-26 18:00:00,2025-05-26 21:00:00,America/Los_Angeles,In-person,Global Webinar Room,Online,,USA,Chaifetz School of Business,chaifetz-events@slu.edu,512,1,512,387,3.78
4d8a8900-502f-4d10-a3e0-fe35283439b3,Workshop 0052 • Consulting Case Prep,Workshop,Consulting Case Prep,Join us for workshop on consulting case prep.,2026-02-25 18:00:00,2026-02-25 21:00:00,America/Chicago,Hybrid,Virtual Stage,Online,,USA,Data Science Institute,dsi@slu.edu,60,1,60,60,3.64
189a5d4d-892f-44c9-85f1-3f104a378ffe,Meetup 0053 • Resume & Interview Mastery,Meetup,Resume & Interview Mastery,Join us for meetup on resume & interview mastery.,2026-01-15 18:00:00,2026-01-15 19:00:00,America/New_York,Virtual,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,135,0,135,135,4.95
b0339c4b-58ea-4f60-a1e7-59a48edcca38,Guest Lecture 0054 • Networking Night,Guest Lecture,Networking Night,Join us for guest lecture on networking night.,2026-01-22 10:00:00,2026-01-22 13:00:00,America/Chicago,Virtual,Virtual Stage,Online,,USA,Cybersecurity Center,cybercenter@slu.edu,197,1,197,126,
21a18ceb-54fb-4cc1-bfc0-caed580762ae,Career Fair 0055 • Employer Spotlight,Career Fair,Employer Spotlight,Join us for career fair on employer spotlight.,2026-04-20 10:00:00,2026-04-20 11:00:00,America/New_York,Hybrid,Global Webinar Room,Online,,USA,Chaifetz School of Business,chaifetz-events@slu.edu,872,1,184,184,
9c013d74-517e-4584-961d-a20d1a98b945,Webinar 0056 • AI & Data Analytics Careers,Webinar,AI & Data Analytics Careers,Join us for webinar on ai & data analytics careers.,2025-08-30 14:00:00,2025-08-30 18:00:00,America/Chicago,Hybrid,Career Services Hall,Chicago,IL,USA,School of Science & Engineering,sse-events@slu.edu,479,1,238,97,4.13
6a97ab1f-368a-4b47-b951-9e46078fcc35,Workshop 0057 • Cloud & DevOps Pathways,Workshop,Cloud & DevOps Pathways,Join us for workshop on cloud & devops pathways.,2025-10-25 18:00:00,2025-10-25 22:00:00,America/Chicago,Virtual,Tech Innovation Lab,Austin,TX,USA,Data Science Institute,dsi@slu.edu,30,1,30,30,3.54
ad9a0861-4329-476c-83bc-1263f38332f6,Meetup 0058 • Cybersecurity Trends 2025,Meetup,Cybersecurity Trends 2025,Join us for meetup on cybersecurity trends 2025.,2025-10-03 10:00:00,2025-10-03 11:00:00,America/Chicago,Hybrid,Virtual Stage,Online,,USA,School of Science & Engineering,sse-events@slu.edu,150,1,150,150,4.33
4c3a3776-10e1-4f03-81e3-14c9b3077936,Guest Lecture 0059 • Product & Project Management,Guest Lecture,Product & Project Management,Join us for guest lecture on product & project management.,2025-04-29 14:00:00,2025-04-29 17:00:00,America/Los_Angeles,Hybrid,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,90,1,90,90,3.85
483bfff8-7e84-40fd-8736-7edd0fa55143,Career Fair 0060 • Consulting Case Prep,Career Fair,Consulting Case Prep,Join us for career fair on consulting case prep.,2026-01-28 14:00:00,2026-01-28 18:00:00,America/New_York,In-person,Virtual Stage,Online,,USA,Alumni Office,alumni@slu.edu,1106,1,670,244,4.18
c299e276-37ef-4875-b334-2a8802992008,Webinar 0061 • Resume & Interview Mastery,Webinar,Resume & Interview Mastery,Join us for webinar on resume & interview mastery.,2025-11-09 18:00:00,2025-11-09 22:00:00,America/New_York,Virtual,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,324,1,324,124,4.59
9a92ad04-14d4-443a-9582-b6c667d11dc6,Workshop 0062 • Networking Night,Workshop,Networking Night,Join us for workshop on networking night.,2025-10-09 14:00:00,2025-10-09 17:00:00,America/Chicago,Hybrid,Career Services Hall,Chicago,IL,USA,Data Science Institute,dsi@slu.edu,110,1,110,110,3.53
7b91e7c0-7e69-4837-8be3-95ee04cd9cbf,Meetup 0063 • Employer Spotlight,Meetup,Employer Spotlight,Join us for meetup on employer spotlight.,2025-09-14 14:00:00,2025-09-14 18:00:00,America/Los_Angeles,Hybrid,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,89,1,89,89,
472d8bbc-0110-42bb-a736-dca98e94dcd3,Guest Lecture 0064 • AI & Data Analytics Careers,Guest Lecture,AI & Data Analytics Careers,Join us for guest lecture on ai & data analytics careers.,2025-06-01 14:00:00,2025-06-01 18:00:00,America/Los_Angeles,In-person,Career Services Hall,Chicago,IL,USA,Alumni Office,alumni@slu.edu,86,1,86,86,4.8
d1818f5f-6fbf-4793-bb72-b30adc0ada31,Career Fair 0065 • Cloud & DevOps Pathways,Career Fair,Cloud & DevOps Pathways,Join us for career fair on cloud & devops pathways.,2026-04-07 10:00:00,2026-04-07 13:00:00,America/New_York,Virtual,Career Services Hall,Chicago,IL,USA,School of Science & Engineering,sse-events@slu.edu,758,0,563,85,3.82
95e00562-ed97-4d7e-b0e4-8ca62e46f0c8,Webinar 0066 • Cybersecurity Trends 2025,Webinar,Cybersecurity Trends 2025,Join us for webinar on cybersecurity trends 2025.,2025-06-29 10:00:00,2025-06-29 12:00:00,America/New_York,Virtual,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,393,1,393,185,4.57
bc7860c6-e52c-40b9-9539-975f5fe054fb,Workshop 0067 • Product & Project Management,Workshop,Product & Project Management,Join us for workshop on product & project management.,2025-12-08 18:00:00,2025-12-08 19:00:00,America/Los_Angeles,Virtual,Busch Student Center,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,47,1,47,47,4.35
41fa2229-561a-4be9-bafa-fcff354b616f,Meetup 0068 • Consulting Case Prep,Meetup,Consulting Case Prep,Join us for meetup on consulting case prep.,2026-02-22 18:00:00,2026-02-22 21:00:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,74,1,74,74,3.82
276070a9-4b98-4857-98d0-b790ddc0f0fa,Guest Lecture 0069 • Resume & Interview Mastery,Guest Lecture,Resume & Interview Mastery,Join us for guest lecture on resume & interview mastery.,2026-01-27 14:00:00,2026-01-27 18:00:00,America/New_York,In-person,Career Services Hall,Chicago,IL,USA,School of Science & Engineering,sse-events@slu.edu,176,1,176,176,3.59
4737ac35-fccd-4de9-8915-64b544a714a1,Career Fair 0070 • Networking Night,Career Fair,Networking Night,Join us for career fair on networking night.,2026-02-19 14:00:00,2026-02-19 15:00:00,America/New_York,In-person,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,1103,0,250,224,4.48
82f29319-4a1f-4307-a032-38f431baf805,Webinar 0071 • Employer Spotlight,Webinar,Employer Spotlight,Join us for webinar on employer spotlight.,2025-06-09 10:00:00,2025-06-09 13:00:00,America/Chicago,In-person,Global Webinar Room,Online,,USA,Chaifetz School of Business,chaifetz-events@slu.edu,318,1,290,290,4.85
63560130-e518-4f2c-a6d6-1dd8ea06512f,Workshop 0072 • AI & Data Analytics Careers,Workshop,AI & Data Analytics Careers,Join us for workshop on ai & data analytics careers.,2025-07-27 10:00:00,2025-07-27 14:00:00,America/New_York,Hybrid,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,136,1,136,136,4.49
e7bba0f9-efa7-473c-bb55-26b10e8ebba3,Meetup 0073 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for meetup on cloud & devops pathways.,2025-04-27 10:00:00,2025-04-27 13:00:00,America/New_York,In-person,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,146,1,146,146,4.72
a3e0bb47-c70d-4994-b165-11108264d645,Guest Lecture 0074 • Cybersecurity Trends 2025,Guest Lecture,Cybersecurity Trends 2025,Join us for guest lecture on cybersecurity trends 2025.,2025-12-05 18:00:00,2025-12-05 21:00:00,America/Los_Angeles,Hybrid,Busch Student Center,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,225,1,225,225,4.63
a667d7cc-86a9-45ed-9930-2113a9a5811f,Career Fair 0075 • Product & Project Management,Career Fair,Product & Project Management,Join us for career fair on product & project management.,2025-10-21 18:00:00,2025-10-21 22:00:00,America/Los_Angeles,Hybrid,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,869,0,422,323,4.8
95e197f4-4bb8-434f-8f62-2ba662cdf9a9,Webinar 0076 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for webinar on consulting case prep.,2026-01-23 10:00:00,2026-01-23 14:00:00,America/New_York,Hybrid,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,324,1,272,272,4.19
8c65c2fc-089b-422f-b46f-d638a0a75966,Workshop 0077 • Resume & Interview Mastery,Workshop,Resume & Interview Mastery,Join us for workshop on resume & interview mastery.,2026-04-10 10:00:00,2026-04-10 14:00:00,America/Chicago,In-person,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,47,1,47,47,4.79
a77ef9d3-553e-4069-a1f5-3b450bcb14e2,Meetup 0078 • Networking Night,Meetup,Networking Night,Join us for meetup on networking night.,2025-12-12 14:00:00,2025-12-12 17:00:00,America/Chicago,Virtual,Busch Student Center,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,183,0,183,183,4.12
85ca5fc9-f8bf-42c0-becc-b31bcf46b2e9,Guest Lecture 0079 • Employer Spotlight,Guest Lecture,Employer Spotlight,Join us for guest lecture on employer spotlight.,2025-10-26 18:00:00,2025-10-26 21:00:00,America/New_York,In-person,Alumni Center,Boston,MA,USA,School of Science & Engineering,sse-events@slu.edu,103,1,103,103,
e3ce80fa-06b1-49f9-aef3-98c62055f547,Career Fair 0080 • AI & Data Analytics Careers,Career Fair,AI & Data Analytics Careers,Join us for career fair on ai & data analytics careers.,2025-07-29 18:00:00,2025-07-29 20:00:00,America/Los_Angeles,In-person,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,1095,0,351,139,3.76
